Winning team,Winning team score,Losing team,Losing team score,Map,Player,ACS,Kills,Deaths,Assists,KAST,ADR
Cloud9,2,Spacestation Gaming,1,3 Ascent,TenZ,311,23,/ 14 /,9,,149
Cloud9,2,Equinox Esports,0,1 Ascent,TenZ,305,25,/ 16 /,5,,192
Cloud9,2,Equinox Esports,0,2 Split,TenZ,294,27,/ 19 /,3,,176
Spacestation Gaming,2,Cloud9,0,1 Bind,TenZ,247,21,/ 15 /,3,,140
Spacestation Gaming,2,Cloud9,0,2 Ascent,TenZ,262,23,/ 16 /,7,,166
Renegades,2,Cloud9,0,1 Split,TenZ,220,23,/ 23 /,8,,141
Renegades,2,Cloud9,0,2 Ascent,TenZ,232,18,/ 19 /,9,,135
Cloud9,2,100 Thieves,1,1 Bind,TenZ,357,27,/ 12 /,2,,210
Cloud9,2,100 Thieves,1,2 Ascent,TenZ,258,17,/ 15 /,1,,145
Cloud9,2,100 Thieves,1,3 Split,TenZ,283,22,/ 13 /,6,,158
Cloud9,2,XSET,0,1 Bind,TenZ,183,13,/ 11 /,3,,114
Cloud9,2,XSET,0,2 Ascent,TenZ,334,21,/ 11 /,4,,202
Cloud9,2,Envy,1,1 Ascent,TenZ,250,23,/ 16 /,1,,147
Cloud9,2,Envy,1,2 Split,TenZ,403,29,/ 11 /,5,,257
Cloud9,2,Envy,1,3 Bind,TenZ,295,20,/ 10 /,7,,192
Cloud9,2,TSM,1,1 Ascent,TenZ,345,23,/ 15 /,6,,202
Cloud9,2,TSM,1,2 Bind,TenZ,280,28,/ 22 /,9,,165
Cloud9,2,TSM,1,3 Split,TenZ,239,19,/ 17 /,7,,146
Cloud9,2,Slimy Boogermen,1,1 Ascent,TenZ,467,25,/ 7 /,3,,267
Cloud9,2,Slimy Boogermen,1,2 Haven,TenZ,231,18,/ 16 /,1,,134
Cloud9,2,Slimy Boogermen,1,3 Split,TenZ,371,22,/ 8 /,9,,218
Cloud9,2,Equinox Esports,1,1 Ascent,TenZ,373,27,/ 16 /,5,,205
Cloud9,2,Equinox Esports,1,2 Haven,TenZ,250,21,/ 15 /,4,,149
Cloud9,2,Equinox Esports,1,3 Split,TenZ,245,17,/ 11 /,7,,154
Cloud9,2,DimmaDome$,0,1 Haven,TenZ,310,20,/ 8 /,2,,197
Cloud9,2,DimmaDome$,0,2 Ascent,TenZ,348,26,/ 16 /,5,,224
Cloud9,2,Exotic,0,1 Haven,TenZ,194,14,/ 12 /,2,,117
Cloud9,2,Exotic,0,2 Ascent,TenZ,434,21,/ 3 /,3,,251
Cloud9,2,TMU SHORTYKINGS,0,1 Haven,TenZ,238,17,/ 11 /,4,,168
Cloud9,2,TMU SHORTYKINGS,0,2 Ascent,TenZ,269,19,/ 14 /,5,,165
Cloud9,2,Moon Raccoons,0,1 Haven,TenZ,255,24,/ 14 /,2,,150
Cloud9,2,Moon Raccoons,0,2 Ascent,TenZ,313,23,/ 15 /,5,,185
Immortals,2,Cloud9,1,1 Ascent,TenZ,113,9,/ 18 /,4,,80
Immortals,2,Cloud9,1,2 Split,TenZ,313,28,/ 15 /,4,,168
Immortals,2,Cloud9,1,3 Haven,TenZ,196,19,/ 23 /,8,,129
Cloud9,2,FaZe Clan,0,1 Ascent,TenZ,322,23,/ 20 /,5,,186
Cloud9,2,FaZe Clan,0,2 Bind,TenZ,297,22,/ 10 /,4,,195
Cloud9,2,Complexity,0,1 Ascent,TenZ,240,13,/ 13 /,6,,132
Cloud9,2,Complexity,0,2 Haven,TenZ,306,22,/ 12 /,6,,178
Envy,2,Cloud9,0,1 Ascent,TenZ,282,23,/ 15 /,8,,173
Envy,2,Cloud9,0,2 Split,TenZ,284,19,/ 16 /,3,,248
Sentinels,2,Cloud9,1,1 Split,TenZ,271,23,/ 15 /,8,,157
Sentinels,2,Cloud9,1,2 Bind,TenZ,357,22,/ 14 /,3,,233
Sentinels,2,Cloud9,1,3 Haven,TenZ,312,26,/ 19 /,6,,229
Cloud9,2,Envy,1,1 Split,TenZ,314,18,/ 16 /,2,,181
Cloud9,2,Envy,1,2 Ascent,TenZ,232,20,/ 15 /,5,,137
Cloud9,2,Envy,1,3 Haven,TenZ,253,24,/ 19 /,9,,165
Cloud9,2,Dignitas,0,1 Haven,TenZ,307,16,/ 6 /,7,,157
Cloud9,2,Dignitas,0,2 Ascent,TenZ,194,13,/ 16 /,6,,162
Cloud9,2,Gen.G,1,1 Split,TenZ,258,18,/ 15 /,5,,132
Cloud9,2,Gen.G,1,2 Ascent,TenZ,333,23,/ 13 /,5,,201
Cloud9,2,Gen.G,1,3 Bind,TenZ,272,18,/ 9 /,4,,171
Immortals,2,Cloud9,1,1 Ascent,TenZ,249,27,/ 20 /,2,,147
Immortals,2,Cloud9,1,2 Bind,TenZ,239,15,/ 15 /,4,,138
